P1,EloP1,HardRawP1,ClayRawP1,GrassRawP1,hEloP1,cEloP1,gEloP1
Nadal R.,2203.4,2047.1,2123.6,1676.2,2125.2,2163.5,1939.8
Djokovic N.,2201.3,2083.4,2062.6,2011.5,2142.4,2132,2106.4
Federer R.,2167.3,2047.1,1824.6,1930.6,2107.2,1995.9,2048.9
Tsitsipas S.,2067.4,1980.4,1915,1526.3,2023.9,1991.2,1796.9
Thiem D.,2066.2,1941.5,2030.7,1602.1,2003.9,2048.5,1834.2
Medvedev D.,2064.7,1989.8,1662.2,1634.5,2027.2,1863.4,1849.6
Zverev A.,1985.8,1910.4,1971,1632.2,1948.1,1978.4,1809
Rublev A.,1957.6,1885.4,1679.9,1436.9,1921.5,1818.7,1697.3
De Minaur A.,1954.6,1890.1,1386.9,1551.6,1922.4,1670.8,1753.1
Berrettini M.,1950.8,1776,1866.8,1771.5,1863.4,1908.8,1861.1
Shapovalov D.,1946.8,1883.6,1611.3,1302.9,1915.2,1779.1,1624.9
Nishikori K.,1936.5,1819,1898.9,1730.8,1877.8,1917.7,1833.7
Bautista Agut R.,1930.9,1845.4,1784.4,1807.4,1888.2,1857.6,1869.1
Wawrinka S.,1920.7,1848.9,1859.7,1531.3,1884.8,1890.2,1726
Kyrgios N.,1907.1,1846.2,1598.7,1610.9,1876.7,1752.9,1759
Tsonga J.W.,1901.4,1806.1,1743.2,1621.8,1853.8,1822.3,1761.6
Schwartzman D.,1899.5,1760.5,1844,1500.3,1830,1871.8,1699.9
Goffin D.,1895.1,1751.5,1771.2,1719.4,1823.3,1833.1,1807.2
Krajinovic F.,1894.8,1796.8,1838.4,1379.6,1845.8,1866.6,1637.2
Carreno-Busta P.,1894.2,1819.9,1713.4,1340.7,1857.1,1803.8,1617.5
Cilic M.,1892.6,1787.5,1794.3,1777.6,1840,1843.5,1835.1
Fognini F.,1891.2,1766.7,1856.5,1609.8,1829,1873.9,1750.5
Monfils G.,1890.5,1834.8,1701.6,1547.9,1862.7,1796.1,1719.2
Khachanov K.,1872.7,1763.1,1800.8,1701.4,1817.9,1836.8,1787
Murray A.,1864.9,1778.9,1789.4,1628.7,1821.9,1827.1,1746.8
Chardy J.,1850.6,1733.5,1729.2,1591.5,1792.1,1789.9,1721.1
Querrey S.,1848.6,1693.2,1702.3,1764.7,1770.9,1775.4,1806.6
Pouille L.,1847.8,1749.6,1731.9,1641.2,1798.7,1789.8,1744.5
Isner J.,1839.5,1723.5,1658.5,1718.1,1781.5,1749,1778.8
Basilashvili N.,1839.2,1724.1,1803.7,1429,1781.6,1821.5,1634.1
Dimitrov G.,1837.8,1773.5,1709.6,1507.8,1805.7,1773.7,1672.8
Berdych T.,1834.6,1763.1,1734.7,1583.7,1798.8,1784.6,1709.1
Pospisil V.,1832.5,1776.7,1281.1,1457.5,1804.6,1556.8,1645
Struff J.L.,1830.2,1676.3,1741.7,1539.9,1753.3,1786,1685.1
Edmund K.,1830.1,1764.2,1703.1,1448.5,1797.2,1766.6,1639.3
Bedene A.,1827.3,1724.1,1739.5,1549.7,1775.7,1783.4,1688.5
Ymer M.,1826.2,1732.2,1686.7,1498.1,1779.2,1756.4,1662.1
Nishioka Y.,1825.7,1756.5,1475.1,1400.3,1791.1,1650.4,1613
Coric B.,1823.7,1721.4,1762.6,1612,1772.5,1793.2,1717.9
Pella G.,1822.3,1623.8,1817,1606.2,1723.1,1819.7,1714.3
Harry Fritz T.,1821.9,1696.5,1704.4,1558.4,1759.2,1763.2,1690.2
Raonic M.,1819.8,1698.6,1702.2,1659.1,1759.2,1761,1739.5
Opelka R.,1818.3,1741.2,1609.4,1494.7,1779.8,1713.8,1656.5
Sinner J.,1815.9,1778,1543.7,1384,1796.9,1679.8,1599.9
Auger-Aliassime F.,1812.9,1666,1760.6,1661.7,1739.5,1786.8,1737.3
Garin C.,1812.5,1637.9,1793,1496.8,1725.2,1802.7,1654.7
Hurkacz H.,1809.4,1730.8,1652.5,1544.3,1770.1,1731,1676.9
Verdasco F.,1805.3,1720.2,1734.6,1582.7,1762.8,1770,1694
Chung H.,1796.7,1700.6,1649.3,1302.4,1748.7,1723,1549.5
Ramos A.,1794.2,1629.4,1765.2,1405.9,1711.8,1779.7,1600.1
Gasquet R.,1793.3,1667.7,1658.9,1562.9,1730.5,1726.1,1678.1
Kohlschreiber P.,1789.2,1737.1,1722.2,1545.8,1763.2,1755.7,1667.5
Albot R.,1786.9,1716,1598.6,1462.5,1751.5,1692.8,1624.7
Simon G.,1786.5,1708.5,1669.1,1618.8,1747.5,1727.8,1702.6
Lopez F.,1783.4,1666.1,1655.7,1760.7,1724.7,1719.6,1772
Paire B.,1783.2,1637.1,1770.7,1570.1,1710.2,1776.9,1676.7
Mannarino A.,1782,1673.3,1521,1673.7,1727.6,1651.5,1727.8
Kokkinakis T.,1781.2,1724,1608,1434.7,1752.6,1694.6,1608
Kukushkin M.,1778.8,1704.8,1563.3,1530.5,1741.8,1671.1,1654.7
Evans D.,1777.1,1678.6,1495,1665.9,1727.9,1636.1,1721.5
Paul T.,1773,1700.5,1588.8,1503.8,1736.7,1680.9,1638.4
Ruusuvuori E.,1772.4,1735,1458.6,1446.7,1753.7,1615.5,1609.5
Humbert U.,1770.1,1709.5,1246.6,1579.7,1739.8,1508.3,1674.9
Millman J.,1770,1697.4,1634.7,1519.1,1733.7,1702.3,1644.5
Ruud C.,1755.9,1577.3,1715.2,1398.1,1666.6,1735.6,1577
Seppi A.,1753.5,1696.8,1605.5,1593,1725.2,1679.5,1673.2
Andujar P.,1751.3,1494,1769.1,1240.7,1622.6,1760.2,1496
Sonego L.,1750.8,1523.7,1780.3,1538.9,1637.3,1765.6,1644.9
Herbert P.H.,1748.5,1638.4,1665.9,1577.6,1693.5,1707.2,1663
Norrie C.,1748.3,1675.1,1540.2,1387.9,1711.7,1644.3,1568.1
Fucsovics M.,1747.4,1678.3,1644.7,1563,1712.9,1696.1,1655.2
Gerasimov E.,1742.3,1684.4,1391.6,1260.5,1713.3,1566.9,1501.4
Popyrin A.,1740.3,1642.8,1452.7,1548.1,1691.5,1596.5,1644.2
Tiafoe F.,1739.2,1669.6,1648.9,1493.5,1704.4,1694.1,1616.3
Berankis R.,1738.6,1667.9,1517.6,1380.8,1703.2,1628.1,1559.7
Thompson J.,1736,1658.4,1554.6,1536.5,1697.2,1645.3,1636.2
Sousa J.,1734.6,1631,1647.1,1556.9,1682.8,1690.8,1645.8
Davidovich Fokina A.,1732.9,1588.2,1684.2,1430.2,1660.5,1708.6,1581.5
Barrere G.,1730.4,1653.7,1479.8,1533,1692.1,1605.1,1631.7
Koepfer D.,1729.8,1630,1306,1606.2,1679.9,1517.9,1668
Johnson S.,1725.9,1620.7,1662.8,1597.3,1673.3,1694.4,1661.6
Cuevas P.,1725.3,1595,1718.4,1528.4,1660.1,1721.9,1626.9
Novak D.,1724.2,1640.5,1535.7,1663.8,1682.4,1630,1694
Vesely J.,1723.9,1637.8,1589.2,1660.6,1680.9,1656.6,1692.3
Dzumhur D.,1723.9,1640.1,1570.9,1623.3,1682,1647.4,1673.6
Bublik A.,1723.5,1663.5,1292.6,1553,1693.5,1508.1,1638.3
Kwon S.W.,1720.7,1623.7,1238.5,1535.2,1672.2,1479.6,1628
Lajovic D.,1716.2,1582.8,1738.2,1316.8,1649.5,1727.2,1516.5
Tipsarevic J.,1712.7,1669.7,1656.6,1526.9,1691.2,1684.6,1619.8
Kecmanovic M.,1711.5,1590.4,1523.2,1556.9,1651,1617.4,1634.2
Baghdatis M.,1711.4,1644.3,1469.7,1583.5,1677.9,1590.6,1647.5
Carballes Baena R.,1705.6,1544,1678.5,1333.3,1624.8,1692.1,1519.4
Djere L.,1704.7,1316.5,1770.3,1287.7,1510.6,1737.5,1496.2
Mayer L.,1702.8,1641,1659.9,1482.6,1671.9,1681.4,1592.7
Delbonis F.,1702.5,1532.6,1730.5,1182.5,1617.6,1716.5,1442.5
Uchiyama Y.,1701.5,1638.3,1209,1450,1669.9,1455.2,1575.8
Mcdonald M.,1697.1,1667.8,1289.2,1599.6,1682.5,1493.2,1648.3
