,Best of,Court,Date,LPts,LRank,Loser,Round,Series,Surface,Tournament,WPts,WRank,Winner,Player1,Player2,Won,Year,p1Vsp2,Wp1Vsp2,RankDiff,PtsDiff,WeightedRndDiff,RoundDiff
10526,5,Outdoor,1/14/2019,1045,42,Mannarino A.,1st Round,Grand Slam,Hard,Australian Open,4810,6,Anderson K.,Anderson K.,Mannarino A.,1,2019,1,0.333333333,36,3765,0.61638583,0.25354142
10527,5,Outdoor,1/14/2019,312,170,Eubanks C.,1st Round,Grand Slam,Hard,Australian Open,1820,20,Basilashvili N.,Eubanks C.,Basilashvili N.,0,2019,0,0,-150,-1508,-1.418629776,-0.242028986
10528,5,Outdoor,1/14/2019,526,107,Mmoh M.,1st Round,Grand Slam,Hard,Australian Open,585,98,Albot R.,Albot R.,Mmoh M.,1,2019,0,0,9,59,0.262772134,0.094430334
10529,5,Outdoor,1/14/2019,708,77,Andreozzi G.,1st Round,Grand Slam,Hard,Australian Open,401,137,Travaglia S.,Travaglia S.,Andreozzi G.,1,2019,0,0,-60,-307,-0.05,-0.0625
10530,5,Outdoor,1/14/2019,458,125,Kecmanovic M.,1st Round,Grand Slam,Hard,Australian Open,1410,28,Verdasco F.,Kecmanovic M.,Verdasco F.,0,2019,0,0,-97,-952,-1.097140287,-0.361454518
10531,5,Outdoor,1/14/2019,1010,46,Lajovic D.,1st Round,Grand Slam,Hard,Australian Open,616,94,Cuevas P.,Lajovic D.,Cuevas P.,0,2019,-1,-0.333333333,48,394,-1.265,-0.079861111
10532,5,Outdoor,1/14/2019,582,100,Garcia-Lopez G.,1st Round,Grand Slam,Hard,Australian Open,860,58,Haase R.,Haase R.,Garcia-Lopez G.,1,2019,-1,-0.333333333,42,278,-0.756516007,0.046686621
10533,5,Outdoor,1/14/2019,920,54,Berrettini M.,1st Round,Grand Slam,Hard,Australian Open,2095,15,Tsitsipas S.,Tsitsipas S.,Berrettini M.,1,2019,0,0,39,1175,0.963323199,0.250744907
10534,5,Outdoor,1/14/2019,,,Tipsarevic J.,1st Round,Grand Slam,Hard,Australian Open,1790,21,Dimitrov G.,Dimitrov G.,Tipsarevic J.,1,2019,-1,-0.333333333,,,1.506713924,0.42719888
10535,5,Outdoor,1/14/2019,515,109,Gunneswaran P.,1st Round,Grand Slam,Hard,Australian Open,1080,39,Tiafoe F.,Tiafoe F.,Gunneswaran P.,1,2019,0,0,70,565,0.908818182,0.194772727
