Winner,M,TPW,S W,Gms,G W
Nadal R.,64,56,83.9,1527,63.3
Djokovic N.,68,55.3,80,1677,60.5
Federer R.,61,54.6,77.6,1584,58.6
Thiem D.,66,52,64.3,1606,53.9
Medvedev D.,80,53.2,70.2,1966,56.1
Tsitsipas S.,78,51.7,63.9,2066,53
Zverev A.,67,51.5,60.3,1728,52.9
Berrettini M.,68,51.4,59.8,1755,52.6
Bautista Agut R.,64,52.3,62.9,1671,54.9
Monfils G.,56,51.7,60.9,1444,54.4
Goffin D.,63,51.2,56,1500,52.9
Fognini F.,53,50,53.6,1343,50
Nishikori K.,43,51.9,62.2,1221,54.1
Schwartzman D.,68,51.6,57.5,1678,53
Shapovalov D.,65,50.9,55.8,1549,51.7
Wawrinka S.,52,51.5,61.8,1451,52.9
Khachanov K.,59,50.2,50,1595,50.6
De Minaur A.,56,52,63.1,1370,53.5
Isner J.,46,51.4,61.2,1242,52
Dimitrov G.,45,51.4,53.2,1273,52.9
Auger-Aliassime F.,62,50.8,56.4,1482,50.9
Pouille L.,42,49.7,50.9,1162,50.1
Rublev A.,76,51.8,60.1,1855,53.1
Paire B.,66,49.9,52.6,1674,50.1
Pella G.,61,50.6,54.5,1601,50.9
Basilashvili N.,52,49.8,51.7,1417,49.6
Carreno Busta P.,57,51.2,59.7,1465,53.3
Coric B.,49,50.6,52.9,1338,51
Tsonga J.W.,54,51.5,59.7,1317,52.4
Kyrgios N.,37,50.1,58.3,989,50.8
Raonic M.,34,53,67.4,928,53.9
Fritz T.,63,49.9,53.3,1493,50.2
Garin C.,61,49.8,51.7,1461,50.1
Lajovic D.,50,49.5,45.6,1224,49.2
Struff J.L.,65,51.1,53.9,1651,52
Opelka R.,59,50,55.1,1634,50.9
Hurkacz H.,52,50.6,50.8,1271,50.9
Djere L.,44,49.1,45.9,1083,48.7
Cilic M.,41,50.5,54.5,1124,50.4
Krajinovic F.,53,51.7,61.6,1355,53.4
Ramos A.,64,50.4,54.7,1426,51.8
Evans D.,61,51.3,57,1511,52.3
Mannarino A.,56,50.4,47.1,1303,50.5
Querrey S.,43,51.1,58.9,1079,51.9
Cuevas P.,55,50.6,55.6,1318,51.7
Albot R.,61,50.1,55.3,1441,50.4
Tiafoe F.,46,49.4,49.6,1247,48.9
Millman J.,55,50.3,47.9,1335,50.7
Verdasco F.,53,50.4,51,1432,51.3
Londero J.I.,58,50.7,52.8,1391,51.3
