Rank,Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo
1,Rafael Nadal,33.5,2203.4,2047.1,2123.6,1676.2,2125.2,2163.5,1939.8
2,Novak Djokovic,32.5,2201.3,2083.4,2062.6,2011.5,2142.4,2132,2106.4
3,Roger Federer,38.3,2167.3,2047.1,1824.6,1930.6,2107.2,1995.9,2048.9
4,Stefanos Tsitsipas,21.2,2067.4,1980.4,1915,1526.3,2023.9,1991.2,1796.9
5,Dominic Thiem,26.2,2066.2,1941.5,2030.7,1602.1,2003.9,2048.5,1834.2
6,Daniil Medvedev,23.7,2064.7,1989.8,1662.2,1634.5,2027.2,1863.4,1849.6
7,Alexander Zverev,22.6,1985.8,1910.4,1971,1632.2,1948.1,1978.4,1809
8,Andrey Rublev,22.1,1957.6,1885.4,1679.9,1436.9,1921.5,1818.7,1697.3
9,Alex De Minaur,20.8,1954.6,1890.1,1386.9,1551.6,1922.4,1670.8,1753.1
10,Matteo Berrettini,23.6,1950.8,1776,1866.8,1771.5,1863.4,1908.8,1861.1
11,Denis Shapovalov,20.6,1946.8,1883.6,1611.3,1302.9,1915.2,1779.1,1624.9
12,Kei Nishikori,29.7,1936.5,1819,1898.9,1730.8,1877.8,1917.7,1833.7
13,Roberto Bautista Agut,31.6,1930.9,1845.4,1784.4,1807.4,1888.2,1857.6,1869.1
14,Stanislas Wawrinka,34.6,1920.7,1848.9,1859.7,1531.3,1884.8,1890.2,1726
15,Nick Kyrgios,24.6,1907.1,1846.2,1598.7,1610.9,1876.7,1752.9,1759
16,Jo Wilfried Tsonga,34.6,1901.4,1806.1,1743.2,1621.8,1853.8,1822.3,1761.6
17,Diego Sebastian Schwartzman,27.3,1899.5,1760.5,1844,1500.3,1830,1871.8,1699.9
18,David Goffin,28.9,1895.1,1751.5,1771.2,1719.4,1823.3,1833.1,1807.2
19,Filip Krajinovic,27.7,1894.8,1796.8,1838.4,1379.6,1845.8,1866.6,1637.2
20,Pablo Carreno Busta,28.4,1894.2,1819.9,1713.4,1340.7,1857.1,1803.8,1617.5
21,Marin Cilic,31.1,1892.6,1787.5,1794.3,1777.6,1840,1843.5,1835.1
22,Fabio Fognini,32.5,1891.2,1766.7,1856.5,1609.8,1829,1873.9,1750.5
23,Gael Monfils,33.2,1890.5,1834.8,1701.6,1547.9,1862.7,1796.1,1719.2
24,Karen Khachanov,23.5,1872.7,1763.1,1800.8,1701.4,1817.9,1836.8,1787
25,Andy Murray,32.5,1864.9,1778.9,1789.4,1628.7,1821.9,1827.1,1746.8
26,Jeremy Chardy,32.7,1850.6,1733.5,1729.2,1591.5,1792.1,1789.9,1721.1
27,Sam Querrey,32.1,1848.6,1693.2,1702.3,1764.7,1770.9,1775.4,1806.6
28,Lucas Pouille,25.6,1847.8,1749.6,1731.9,1641.2,1798.7,1789.8,1744.5
29,John Isner,34.5,1839.5,1723.5,1658.5,1718.1,1781.5,1749,1778.8
30,Nikoloz Basilashvili,27.7,1839.2,1724.1,1803.7,1429,1781.6,1821.5,1634.1
31,Grigor Dimitrov,28.5,1837.8,1773.5,1709.6,1507.8,1805.7,1773.7,1672.8
32,Tomas Berdych,33.9,1834.6,1763.1,1734.7,1583.7,1798.8,1784.6,1709.1
33,Vasek Pospisil,29.4,1832.5,1776.7,1281.1,1457.5,1804.6,1556.8,1645
34,Jan Lennard Struff,29.6,1830.2,1676.3,1741.7,1539.9,1753.3,1786,1685.1
35,Kyle Edmund,24.9,1830.1,1764.2,1703.1,1448.5,1797.2,1766.6,1639.3
36,Aljaz Bedene,30.3,1827.3,1724.1,1739.5,1549.7,1775.7,1783.4,1688.5
37,Mikael Ymer,21.1,1826.2,1732.2,1686.7,1498.1,1779.2,1756.4,1662.1
38,Yoshihito Nishioka,24.1,1825.7,1756.5,1475.1,1400.3,1791.1,1650.4,1613
39,Borna Coric,23,1823.7,1721.4,1762.6,1612,1772.5,1793.2,1717.9
40,Guido Pella,29.5,1822.3,1623.8,1817,1606.2,1723.1,1819.7,1714.3
41,Taylor Harry Fritz,22.1,1821.9,1696.5,1704.4,1558.4,1759.2,1763.2,1690.2
42,Milos Raonic,28.8,1819.8,1698.6,1702.2,1659.1,1759.2,1761,1739.5
43,Reilly Opelka,22.2,1818.3,1741.2,1609.4,1494.7,1779.8,1713.8,1656.5
44,Jannik Sinner,18.2,1815.9,1778,1543.7,1384,1796.9,1679.8,1599.9
45,Felix Auger Aliassime,19.3,1812.9,1666,1760.6,1661.7,1739.5,1786.8,1737.3
46,Christian Garin,23.5,1812.5,1637.9,1793,1496.8,1725.2,1802.7,1654.7
47,Hubert Hurkacz,22.7,1809.4,1730.8,1652.5,1544.3,1770.1,1731,1676.9
